N,P,K,temperature,humidity,ph,rainfall,label,yield
22.04,64.27,21.01,33.52,85.66,6.27,77.73,mungbean,0.83
24.82,60.19,24.89,28.31,93.95,7.17,68.96,mungbean,0.95
19.15,52.89,24.05,30.09,85.35,6.29,88.9,mungbean,1.39
21.11,59.21,22.4,33.97,85.32,7.28,69.41,mungbean,0.97
18.88,62.93,23.25,29.81,85.6,7.32,94.0,mungbean,0.63
22.1,52.07,20.76,26.73,85.76,6.48,99.32,mungbean,0.98
22.38,62.02,26.11,30.45,89.98,6.72,92.09,mungbean,0.95
20.07,57.67,25.36,28.73,90.45,6.96,98.29,mungbean,0.6
19.4,47.42,21.93,28.23,93.29,6.8,70.82,mungbean,1.03
19.35,50.61,20.41,27.76,92.21,6.99,86.83,mungbean,0.84
18.48,59.6,18.2,26.12,85.71,6.66,77.88,mungbean,0.93
22.22,63.64,24.3,26.27,89.63,6.71,70.34,mungbean,0.82
20.39,56.41,23.06,32.57,86.67,6.88,69.85,mungbean,0.6
24.07,58.94,21.32,28.83,90.07,6.79,61.43,mungbean,0.92
24.78,56.96,26.98,28.24,94.99,6.72,71.91,mungbean,0.92
20.29,52.18,19.8,28.46,93.61,6.65,88.1,mungbean,0.85
20.89,56.44,24.66,31.58,94.44,7.43,90.75,mungbean,1.37
18.52,53.44,26.4,31.85,91.92,7.14,74.78,mungbean,1.21
22.95,54.56,27.88,26.33,87.36,6.61,71.77,mungbean,1.46
19.91,59.35,22.28,29.82,89.81,6.39,71.0,mungbean,0.87
23.38,46.88,20.07,32.82,92.73,6.31,91.2,mungbean,1.35
22.28,49.1,24.67,29.18,94.85,6.58,72.6,mungbean,1.08
18.01,54.46,21.71,33.24,90.35,7.24,74.11,mungbean,1.32
19.21,53.64,20.82,31.57,85.95,6.38,90.77,mungbean,0.97
21.46,46.41,24.62,26.41,87.8,7.39,85.24,mungbean,0.85
21.79,59.51,23.41,28.37,91.39,6.54,72.06,mungbean,0.98
22.05,54.95,24.38,31.7,87.97,6.27,98.2,mungbean,0.89
23.79,52.36,19.23,30.57,88.69,7.43,86.15,mungbean,0.74
20.69,53.36,18.4,25.9,89.5,6.49,64.22,mungbean,1.14
21.02,63.01,23.2,28.36,86.74,6.34,93.54,mungbean,1.35
24.85,57.11,18.48,29.9,94.35,7.11,79.87,mungbean,1.43
23.29,45.51,23.74,26.31,91.75,7.32,90.53,mungbean,1.26
21.2,56.94,21.5,30.98,86.6,7.23,73.45,mungbean,0.95
19.15,53.1,26.6,34.33,94.14,7.4,82.18,mungbean,1.48
24.15,49.64,19.44,31.33,92.54,6.46,79.26,mungbean,0.87
24.06,63.07,24.97,32.34,94.01,6.73,71.36,mungbean,0.68
18.21,62.82,25.24,34.93,86.13,7.34,98.24,mungbean,1.24
19.92,59.84,21.77,27.95,93.33,6.35,66.4,mungbean,1.34
22.57,45.37,26.67,26.35,92.21,6.84,80.07,mungbean,0.73
24.93,62.24,20.74,32.01,93.38,6.44,89.82,mungbean,1.21
24.0,45.14,23.77,26.99,89.33,7.2,96.54,mungbean,0.72
18.58,52.53,23.08,27.81,85.68,6.24,64.61,mungbean,1.06
23.01,52.99,18.43,29.18,94.74,6.52,66.75,mungbean,0.8
20.95,48.25,20.38,30.02,93.24,7.24,63.64,mungbean,0.68
19.61,62.21,22.39,34.94,86.31,7.34,74.39,mungbean,0.79
19.69,54.06,18.32,27.5,94.77,6.96,92.69,mungbean,1.07
23.06,53.28,25.41,32.76,92.14,7.49,86.61,mungbean,0.77
19.56,46.54,21.97,34.72,88.47,7.43,93.62,mungbean,0.83
23.56,50.02,21.48,33.17,89.42,6.36,70.84,mungbean,0.64
44.2,62.83,25.65,30.01,84.05,5.94,67.28,blackgram,0.71
44.63,67.49,24.57,26.26,83.26,6.18,85.75,blackgram,1.2
42.55,60.5,26.12,28.67,84.54,6.83,83.68,blackgram,1.33
42.8,60.93,24.62,25.53,71.1,6.45,60.14,blackgram,1.0
43.64,69.32,24.49,30.59,76.97,6.25,69.81,blackgram,1.22
40.67,67.31,24.41,31.86,84.55,6.29,77.77,blackgram,1.19
35.56,66.4,26.08,28.0,83.61,5.86,88.6,blackgram,1.34
42.33,60.68,20.23,28.72,77.38,5.77,91.63,blackgram,1.24
37.39,67.12,27.99,25.33,67.74,7.2,80.72,blackgram,0.83
44.54,68.64,25.6,28.2,69.49,7.16,86.56,blackgram,0.83
42.27,68.6,27.0,26.71,72.41,6.3,61.01,blackgram,1.07
35.12,62.44,27.77,31.1,78.29,6.41,75.85,blackgram,0.81
40.13,66.59,22.5,30.72,80.59,6.07,81.95,blackgram,1.12
38.58,60.07,23.42,27.95,65.68,6.73,84.71,blackgram,1.04
42.47,65.42,25.33,29.35,72.16,6.54,82.19,blackgram,1.15
39.67,67.42,27.73,31.57,84.17,6.71,56.88,blackgram,1.25
38.96,68.0,24.9,31.41,84.06,7.09,57.27,blackgram,0.84
35.62,66.71,24.17,30.51,77.35,6.14,68.69,blackgram,0.86
41.71,67.33,23.57,28.98,77.07,6.26,65.08,blackgram,1.46
36.58,65.58,25.76,25.38,78.2,5.79,74.5,blackgram,1.48
35.24,69.08,18.0,31.89,80.09,6.48,74.91,blackgram,1.3
42.83,69.85,26.46,26.54,74.53,6.0,92.82,blackgram,0.97
35.23,65.15,18.39,30.72,83.91,6.57,92.53,blackgram,1.23
37.38,61.76,19.41,26.6,76.61,6.25,68.41,blackgram,0.86
38.8,69.57,19.88,28.12,65.18,6.85,85.65,blackgram,0.76
35.33,68.75,18.3,28.34,77.04,6.43,84.94,blackgram,1.05
35.89,60.98,19.76,27.42,68.43,6.45,85.18,blackgram,1.29
39.1,65.05,23.41,30.3,83.48,7.02,91.03,blackgram,1.43
35.62,64.87,22.79,31.56,65.15,6.84,77.16,blackgram,0.9
41.27,62.14,24.35,26.38,67.59,5.86,83.22,blackgram,0.88
38.62,67.9,21.21,29.62,70.4,7.11,84.55,blackgram,1.22
40.61,66.42,27.46,25.1,66.39,6.11,90.81,blackgram,0.77
35.34,61.44,27.7,28.04,75.52,6.31,71.93,blackgram,0.85
40.93,68.8,27.14,30.81,80.95,5.75,79.19,blackgram,1.2
36.01,62.57,24.43,30.93,79.27,6.23,76.84,blackgram,1.44
44.68,60.88,25.87,30.93,77.63,7.04,55.46,blackgram,1.34
39.62,67.77,26.93,25.15,65.73,5.85,63.68,blackgram,1.01
37.66,69.06,20.92,29.24,70.18,6.62,68.08,blackgram,1.49
39.79,61.79,22.52,31.44,68.19,7.14,78.89,blackgram,1.42
35.52,66.63,18.53,31.27,81.22,6.85,78.81,blackgram,0.82
36.31,65.27,19.81,31.69,82.24,6.06,63.22,blackgram,0.94
43.46,61.23,27.85,29.92,66.17,6.72,90.76,blackgram,1.4
36.93,62.23,22.35,30.25,76.46,6.11,59.37,blackgram,1.14
39.91,69.98,19.58,27.44,70.31,6.88,68.09,blackgram,0.86
43.73,68.74,24.99,26.39,81.09,6.19,64.61,blackgram,1.13
39.68,61.27,22.72,29.88,69.05,6.51,86.04,blackgram,0.84
40.43,65.28,21.92,25.71,82.69,5.84,56.31,blackgram,1.49
37.51,65.81,24.55,27.86,65.86,7.04,75.25,blackgram,0.74
39.33,61.58,26.97,30.3,73.11,5.63,73.2,blackgram,1.48
39.77,61.52,27.84,28.3,76.83,5.54,92.23,blackgram,0.83
42.78,63.16,21.67,26.3,68.43,6.42,65.22,blackgram,1.18
41.67,68.38,27.95,31.05,72.24,6.41,89.94,blackgram,1.26
36.99,67.04,18.55,29.15,68.04,6.31,90.24,blackgram,1.47
41.93,68.92,18.97,27.96,65.49,6.7,92.39,blackgram,1.4
43.57,62.01,18.23,31.91,79.83,5.58,86.95,blackgram,1.37
37.5,69.87,18.9,30.42,76.29,5.74,83.85,blackgram,1.36
41.66,60.16,25.22,26.46,65.39,6.85,84.48,blackgram,1.46
35.73,60.14,25.28,29.45,81.57,5.97,88.75,blackgram,0.85
39.63,63.68,21.47,29.41,81.48,6.85,92.98,blackgram,1.39
41.69,66.78,21.54,27.59,65.15,6.75,75.09,blackgram,0.97
37.4,61.47,22.88,30.43,76.52,6.04,69.82,blackgram,1.28
35.11,65.04,23.67,27.02,70.82,6.77,92.0,blackgram,1.17
37.14,67.54,20.23,26.12,67.78,6.72,70.75,blackgram,1.41
43.77,62.26,22.03,27.09,65.86,6.79,77.07,blackgram,0.8
43.89,60.03,27.02,30.65,73.34,6.23,79.59,blackgram,1.32
37.32,63.04,21.3,28.32,75.04,5.96,61.85,blackgram,0.75
37.6,68.63,19.61,26.93,80.6,6.72,56.95,blackgram,0.82
40.49,61.38,21.19,28.64,71.23,6.83,61.16,blackgram,1.04
39.35,65.68,22.19,30.12,69.29,5.88,81.9,blackgram,0.71
37.27,67.65,22.5,27.83,70.55,6.35,94.86,blackgram,0.99
35.76,62.66,26.14,25.57,77.24,6.04,88.74,blackgram,1.31
44.61,66.81,26.48,30.76,77.48,6.77,67.69,blackgram,1.07
38.15,69.52,22.01,29.33,75.96,6.29,87.68,blackgram,0.96
37.91,61.06,22.46,25.27,80.5,6.49,78.2,blackgram,1.43
36.11,67.15,25.5,28.64,70.26,6.87,75.8,blackgram,1.23
39.31,66.52,20.86,31.4,76.59,5.71,59.44,blackgram,0.95
37.07,61.09,23.69,25.39,73.45,5.99,88.94,blackgram,1.02
44.79,62.46,26.46,28.55,66.7,6.53,61.93,blackgram,1.35
42.99,67.85,25.65,25.39,69.98,5.52,62.86,blackgram,1.22
38.56,65.44,27.4,30.93,77.74,5.76,74.41,blackgram,0.79
36.12,65.72,18.89,30.42,70.45,6.45,77.26,blackgram,1.4
40.88,69.12,25.58,30.47,73.78,6.53,76.91,blackgram,0.83
37.29,68.35,19.48,27.53,74.1,5.73,71.65,blackgram,1.16
35.85,64.75,27.71,29.51,81.24,5.96,94.05,blackgram,1.24
39.16,65.34,27.3,30.17,78.98,6.38,80.85,blackgram,1.03
37.36,66.48,19.92,26.18,72.86,5.86,77.38,blackgram,1.21
42.6,65.27,21.64,30.19,78.51,6.24,87.96,blackgram,1.28
36.03,64.92,24.54,28.38,70.34,6.85,88.9,blackgram,0.78
35.49,61.63,23.19,30.08,69.05,6.47,65.99,blackgram,0.71
42.31,65.95,19.88,29.43,78.8,5.68,74.31,blackgram,1.43
38.2,67.02,23.53,29.31,76.29,6.83,83.52,blackgram,1.29
39.59,67.04,26.79,29.94,74.4,5.73,89.72,blackgram,1.49
42.42,68.54,23.2,25.68,81.96,5.71,69.66,blackgram,1.29
38.62,60.16,26.18,31.01,66.27,6.93,91.75,blackgram,1.19
37.7,66.66,27.92,27.13,73.9,7.09,58.8,blackgram,1.25
41.47,69.65,24.78,28.24,65.12,5.67,82.75,blackgram,1.33
44.54,68.37,24.79,29.15,77.77,6.47,86.6,blackgram,1.43
41.97,60.12,19.03,26.77,65.59,5.53,58.05,blackgram,0.76
39.07,65.14,27.28,25.27,78.8,5.74,56.5,blackgram,1.26
43.19,68.35,27.05,31.12,74.63,6.1,77.44,blackgram,1.14
20.78,68.03,21.91,19.89,65.23,7.83,42.03,lentil,1.41
22.36,63.0,19.44,24.86,64.15,7.03,55.28,lentil,1.81
16.95,64.13,27.63,18.27,69.93,6.15,59.29,lentil,1.39
24.75,65.48,24.7,18.29,71.81,7.35,41.58,lentil,0.88
19.63,67.88,24.77,21.31,69.31,7.58,46.4,lentil,1.66
23.17,65.93,20.29,24.7,64.23,7.77,62.34,lentil,1.02
24.21,62.55,25.88,18.64,66.36,7.78,54.57,lentil,0.82
18.77,66.64,26.6,24.17,71.26,7.48,63.37,lentil,1.09
17.16,69.13,23.72,20.11,69.37,6.65,36.09,lentil,1.1
23.0,66.85,22.07,16.96,70.49,7.31,44.47,lentil,1.66
21.1,65.9,19.39,17.9,64.75,6.38,62.59,lentil,0.9
24.31,69.57,24.69,16.26,66.9,8.0,57.71,lentil,1.65
18.89,66.1,22.64,24.64,66.51,6.97,55.54,lentil,1.2
23.64,63.54,22.83,20.46,72.92,6.47,42.07,lentil,1.03
20.52,66.05,25.12,24.68,74.2,7.04,60.37,lentil,1.02
23.9,66.7,22.07,15.43,74.29,6.96,43.49,lentil,0.92
22.43,69.36,20.43,21.05,70.97,6.07,46.55,lentil,1.96
23.77,69.32,18.15,17.06,74.86,7.17,50.09,lentil,1.39
16.11,69.27,24.19,16.74,66.93,7.65,60.81,lentil,1.26
22.65,60.42,26.27,22.6,67.37,6.32,39.62,lentil,0.87
20.17,66.98,23.35,18.28,64.48,6.5,48.71,lentil,1.59
19.39,61.48,21.42,23.71,67.88,6.4,48.02,lentil,0.9
19.25,68.9,23.32,23.04,65.89,6.62,39.76,lentil,1.21
24.36,61.28,24.28,15.85,72.57,7.75,52.7,lentil,1.97
19.53,61.86,27.94,18.56,69.85,6.44,51.01,lentil,1.44
23.68,69.64,20.58,16.26,74.68,7.81,35.36,lentil,1.79
21.5,66.27,19.71,22.41,71.03,6.53,58.23,lentil,0.86
24.79,65.88,22.47,24.43,70.09,7.56,48.83,lentil,1.79
18.51,62.89,22.73,15.84,66.44,6.91,44.58,lentil,1.15
22.7,61.19,26.37,18.48,72.91,6.41,61.89,lentil,1.96
19.52,65.52,22.65,17.17,70.59,7.04,54.33,lentil,0.91
23.39,64.09,20.33,16.47,68.67,7.45,48.09,lentil,1.65
19.1,68.05,20.34,24.17,69.85,7.04,36.45,lentil,0.86
21.48,69.46,25.5,21.26,67.91,7.8,38.61,lentil,1.86
18.4,64.85,22.56,22.86,69.41,7.62,40.31,lentil,1.41
16.02,66.12,26.84,23.29,66.35,6.81,58.01,lentil,1.15
21.02,60.25,18.04,16.51,73.0,7.78,53.69,lentil,1.09
17.05,69.92,19.16,19.54,67.15,6.78,50.51,lentil,1.88
17.17,68.43,24.19,16.31,71.23,7.43,50.8,lentil,1.71
21.73,60.67,23.84,18.68,65.81,6.9,53.96,lentil,1.3
22.62,61.0,24.56,18.03,72.08,6.61,49.41,lentil,1.87
17.13,63.09,21.14,19.42,64.22,6.56,38.94,lentil,1.81
19.48,68.14,19.83,21.33,64.89,7.74,62.53,lentil,1.31
23.15,66.94,26.71,15.92,65.56,7.22,42.69,lentil,1.03
22.96,66.68,19.85,21.28,70.8,7.72,50.09,lentil,0.98
16.15,65.05,21.56,19.11,66.35,7.52,60.91,lentil,1.2
16.71,69.34,19.29,22.45,65.26,7.2,45.4,lentil,1.5
21.09,62.66,27.36,15.52,70.6,7.76,55.44,lentil,0.89
15.48,62.71,23.28,15.11,71.32,6.09,50.07,lentil,1.9
24.84,67.87,24.11,21.29,69.01,6.79,63.89,lentil,1.62
15.98,63.88,26.11,18.73,71.5,6.04,64.46,lentil,1.19
24.89,65.01,24.36,19.71,71.74,6.34,56.02,lentil,1.46
17.9,62.49,27.62,23.76,71.92,7.39,43.25,lentil,1.21
18.02,60.99,23.99,19.99,70.03,6.34,41.24,lentil,0.9
22.4,61.32,19.29,17.87,67.56,7.51,43.44,lentil,0.83
15.24,64.4,24.06,17.08,73.66,7.22,45.36,lentil,1.04
18.68,64.5,24.96,17.15,65.76,6.83,63.79,lentil,2.0
15.9,61.79,24.2,19.31,73.82,7.56,48.48,lentil,1.9
16.24,69.82,24.38,17.26,67.56,7.66,54.84,lentil,1.95
15.18,62.54,27.6,24.56,71.77,7.52,48.07,lentil,0.82
21.6,61.32,25.1,22.17,69.38,7.74,37.4,lentil,1.81
22.96,69.57,25.82,23.3,67.86,6.54,49.03,lentil,1.73
16.97,62.92,19.6,18.14,71.96,6.21,49.51,lentil,1.65
19.84,62.14,23.88,24.91,69.28,6.45,61.58,lentil,1.76
16.39,60.37,26.33,16.31,74.29,7.97,41.35,lentil,1.02
19.33,61.69,27.16,24.69,70.51,7.07,49.16,lentil,1.77
24.45,68.52,20.65,24.33,66.24,6.55,39.48,lentil,1.74
17.28,60.28,25.35,22.51,74.37,7.4,55.22,lentil,1.68
21.1,66.32,19.71,20.43,68.04,7.52,45.78,lentil,1.19
22.82,65.34,22.67,15.6,65.07,7.76,59.53,lentil,1.41
16.74,63.99,23.49,16.53,67.08,7.06,42.37,lentil,1.52
23.02,60.75,23.14,18.18,65.58,6.54,39.54,lentil,1.96
20.62,63.49,24.17,22.89,70.78,7.35,36.37,lentil,1.02
23.47,62.24,23.5,23.08,67.54,6.29,56.09,lentil,1.65
15.04,60.68,19.53,16.32,72.01,6.3,57.47,lentil,1.23
18.48,66.59,22.02,24.85,72.67,6.37,64.27,lentil,1.67
20.69,65.7,20.5,17.35,70.26,6.52,46.03,lentil,1.69
16.17,68.71,19.5,16.84,66.63,7.33,55.3,lentil,1.95
22.71,64.52,18.53,20.25,68.78,7.32,59.63,lentil,1.89
19.96,60.55,22.7,20.93,74.2,7.75,38.36,lentil,1.65
23.71,64.04,19.22,16.71,64.37,7.24,42.87,lentil,0.86
21.68,68.44,19.21,15.98,66.6,6.87,45.86,lentil,0.96
21.86,67.98,27.32,16.57,64.02,6.39,39.23,lentil,1.73
19.73,64.39,27.43,23.18,67.59,6.38,51.78,lentil,0.81
22.08,65.37,19.23,22.93,67.29,7.43,49.34,lentil,1.88
20.95,68.49,22.51,21.62,64.69,7.48,41.57,lentil,0.81
21.68,60.81,22.08,19.66,72.63,7.8,60.2,lentil,0.89
15.82,67.14,20.58,24.66,73.71,7.0,55.37,lentil,1.32
23.68,63.88,23.79,15.29,71.49,6.55,37.87,lentil,1.92
20.82,60.05,27.46,23.67,71.89,6.79,53.71,lentil,1.76
15.37,64.86,24.47,17.52,67.0,6.52,46.36,lentil,1.56
21.52,69.53,23.54,20.35,70.76,6.84,40.52,lentil,1.35
18.33,61.92,18.51,17.95,74.03,7.53,59.65,lentil,1.16
17.15,64.81,18.61,16.53,74.26,6.49,45.15,lentil,0.86
19.29,61.72,22.83,23.94,70.99,6.42,60.75,lentil,1.81
23.33,61.47,23.57,23.01,72.66,7.26,62.48,lentil,1.28
16.52,65.94,23.18,22.78,73.33,6.4,57.18,lentil,1.8
21.61,60.52,19.95,20.55,71.9,6.3,51.58,lentil,1.07
19.85,65.31,21.95,15.62,72.2,6.61,46.17,lentil,1.08
21.85,69.29,25.87,17.71,66.92,6.22,60.46,lentil,1.07
13.52,15.67,50.6,26.37,93.85,6.43,138.03,pomegranate,8.07
15.63,12.47,44.26,34.29,97.33,6.46,108.4,pomegranate,12.24
12.63,15.9,50.92,26.12,92.27,6.64,158.69,pomegranate,17.87
12.62,15.75,47.67,33.24,96.84,6.68,159.26,pomegranate,19.82
16.12,11.02,46.82,26.23,93.47,6.51,187.56,pomegranate,8.3
11.29,19.76,50.05,20.77,91.07,6.54,125.55,pomegranate,14.58
17.97,14.74,41.7,28.03,90.37,5.83,182.5,pomegranate,10.06
14.87,16.7,38.55,25.78,91.88,5.71,167.85,pomegranate,17.48
12.19,16.54,49.03,34.35,95.56,6.04,167.72,pomegranate,11.62
10.17,10.73,48.2,30.85,94.37,6.33,187.5,pomegranate,11.49
16.31,11.51,38.68,35.01,94.66,6.77,137.45,pomegranate,15.2
11.45,17.84,42.06,36.9,91.92,6.6,179.02,pomegranate,17.16
10.89,17.3,39.65,23.46,93.95,5.7,197.13,pomegranate,19.46
15.48,19.5,51.61,23.17,96.53,5.57,183.36,pomegranate,10.01
15.86,18.08,46.98,32.08,97.79,6.71,155.08,pomegranate,17.24
11.36,11.12,46.77,27.24,97.86,6.44,170.55,pomegranate,9.62
16.55,16.21,38.53,34.59,92.18,6.84,152.15,pomegranate,14.26
12.99,17.81,40.8,23.16,90.94,6.57,195.58,pomegranate,16.98
18.14,11.61,44.74,25.0,94.64,6.02,158.26,pomegranate,15.47
18.52,17.56,38.27,37.87,97.73,6.65,150.08,pomegranate,18.4
16.47,18.73,40.37,21.97,97.32,6.02,139.09,pomegranate,13.91
12.01,17.42,49.38,29.56,91.02,6.55,101.95,pomegranate,19.24
10.03,13.07,50.65,28.57,96.52,6.06,115.82,pomegranate,12.95
18.18,15.58,43.28,24.79,95.24,6.33,170.52,pomegranate,16.57
18.7,15.85,41.8,21.7,97.02,6.98,144.79,pomegranate,19.54
14.5,10.08,40.02,26.81,91.97,5.94,192.29,pomegranate,9.74
12.14,16.51,49.92,18.04,95.05,5.55,163.49,pomegranate,15.7
16.29,14.08,42.09,20.53,91.35,6.75,142.78,pomegranate,11.93
18.85,16.38,51.43,31.19,92.98,5.9,122.49,pomegranate,18.01
14.33,10.79,47.71,23.18,90.1,6.84,107.49,pomegranate,13.26
13.81,10.85,42.02,24.14,91.75,6.46,177.09,pomegranate,17.93
19.04,15.0,47.52,31.78,93.92,6.78,171.53,pomegranate,18.04
18.15,11.21,46.25,36.57,91.17,6.22,163.25,pomegranate,10.11
13.24,15.16,39.86,34.7,95.83,5.89,153.59,pomegranate,9.36
19.02,18.97,50.12,23.03,96.76,6.23,127.62,pomegranate,18.0
15.76,12.43,50.23,35.24,92.55,5.52,184.79,pomegranate,16.4
14.93,10.88,39.59,25.84,94.72,6.51,178.28,pomegranate,14.72
14.24,13.58,48.93,27.82,97.44,6.98,104.48,pomegranate,19.59
14.21,11.69,48.75,27.29,91.32,6.97,130.69,pomegranate,12.96
10.27,19.1,38.91,21.1,93.55,6.8,159.76,pomegranate,14.52
13.4,19.85,50.23,33.1,97.66,5.62,142.33,pomegranate,14.39
15.27,18.16,51.3,24.4,91.87,5.61,118.67,pomegranate,19.19
16.67,14.2,49.6,22.77,95.6,6.72,191.28,pomegranate,8.52
19.05,11.31,42.66,36.2,90.59,6.37,129.48,pomegranate,14.35
11.45,17.51,44.38,37.87,95.3,6.18,161.72,pomegranate,19.74
16.58,15.75,50.68,31.62,90.7,6.06,129.06,pomegranate,15.72
15.13,15.45,50.04,37.86,97.04,5.52,156.75,pomegranate,8.3
16.12,17.08,47.41,18.46,93.96,6.18,130.49,pomegranate,9.92
17.02,10.92,40.03,28.01,92.83,5.96,155.77,pomegranate,11.73
10.81,10.98,45.68,32.95,92.11,6.55,174.85,pomegranate,19.68
18.05,18.1,51.3,30.63,96.67,6.78,102.4,pomegranate,13.52
13.58,10.18,39.25,25.24,90.27,5.66,137.39,pomegranate,13.78
10.88,12.11,46.58,33.97,91.05,6.65,175.55,pomegranate,16.72
10.39,18.89,46.36,37.97,93.42,6.71,165.68,pomegranate,9.57
13.07,17.13,44.44,28.11,93.38,5.67,179.88,pomegranate,17.45
18.06,10.08,40.46,34.84,92.07,6.21,120.49,pomegranate,9.55
17.36,15.4,44.53,24.85,94.76,5.68,180.36,pomegranate,12.27
14.25,14.79,44.51,26.87,92.99,6.47,144.27,pomegranate,17.46
15.15,11.67,48.77,36.36,96.37,5.82,118.18,pomegranate,10.73
16.53,13.7,51.61,35.12,95.1,6.35,136.65,pomegranate,14.85
11.03,11.04,48.0,21.61,96.88,6.89,169.04,pomegranate,13.22
14.78,12.4,38.66,20.2,90.33,5.55,182.22,pomegranate,18.84
19.81,14.7,41.47,32.6,91.23,6.11,198.2,pomegranate,13.51
12.19,14.29,44.4,26.56,94.35,6.92,150.91,pomegranate,13.45
13.39,18.09,42.63,31.34,96.0,6.01,194.53,pomegranate,17.86
19.0,17.97,38.21,30.02,95.04,6.22,156.56,pomegranate,19.09
16.1,12.72,44.12,34.97,95.13,6.53,176.67,pomegranate,18.38
13.38,15.2,44.72,36.53,93.17,5.98,181.48,pomegranate,18.19
14.88,11.69,38.51,26.88,91.31,6.39,135.79,pomegranate,9.57
19.56,18.86,50.09,26.4,90.48,6.98,139.2,pomegranate,18.51
17.6,18.61,48.04,19.14,94.92,6.14,158.3,pomegranate,9.74
12.84,18.96,48.89,37.29,90.89,5.98,187.12,pomegranate,16.75
18.22,10.56,41.09,37.74,97.17,6.96,160.85,pomegranate,19.3
12.67,17.76,52.0,32.39,97.39,6.75,167.02,pomegranate,19.15
19.43,13.71,50.42,29.45,92.75,5.95,183.42,pomegranate,9.5
18.07,16.7,46.3,20.78,94.14,5.79,153.46,pomegranate,10.78
14.08,11.01,38.05,29.37,92.46,5.75,180.45,pomegranate,18.24
10.11,12.15,45.11,28.07,90.22,6.09,184.01,pomegranate,8.55
14.22,15.95,47.79,23.02,91.15,6.42,135.01,pomegranate,17.93
17.06,14.28,48.53,34.26,94.43,6.82,155.43,pomegranate,17.81
16.6,13.09,47.97,22.26,94.69,6.95,104.18,pomegranate,18.04
12.75,15.49,40.44,25.53,96.04,5.84,136.05,pomegranate,15.08
17.96,17.02,43.27,25.51,93.86,6.93,121.72,pomegranate,12.05
18.96,16.42,39.39,34.97,94.33,5.87,142.16,pomegranate,16.13
17.96,14.88,43.03,20.87,96.5,5.53,169.12,pomegranate,14.17
16.21,12.31,50.19,29.01,94.05,6.72,163.45,pomegranate,17.81
19.94,18.23,44.34,32.04,97.48,6.1,123.82,pomegranate,17.83
11.56,10.79,45.59,24.77,92.39,5.67,190.98,pomegranate,11.45
17.99,13.62,43.63,27.0,94.89,6.64,172.26,pomegranate,14.03
15.86,17.26,50.84,19.57,90.41,6.36,127.54,pomegranate,12.41
13.63,17.09,46.07,21.88,95.04,6.65,194.82,pomegranate,10.26
14.06,15.14,51.1,23.55,94.4,6.03,115.2,pomegranate,10.49
18.2,19.72,46.21,28.78,91.1,6.26,173.58,pomegranate,19.75
19.28,16.01,43.49,34.22,97.54,6.33,186.53,pomegranate,16.98
11.6,19.84,40.15,28.42,90.3,5.7,134.63,pomegranate,16.1
13.9,13.68,39.1,30.15,91.57,6.08,161.09,pomegranate,14.91
18.95,16.07,43.58,36.07,91.75,6.17,119.45,pomegranate,12.6
17.43,11.33,48.32,27.44,94.11,5.99,107.43,pomegranate,17.2
10.81,16.2,46.66,37.61,97.6,6.36,184.73,pomegranate,14.47
16.34,13.9,38.04,33.23,91.55,6.5,145.21,pomegranate,10.58
99.24,75.7,52.43,29.69,75.17,5.84,120.56,banana,17.75
87.55,78.15,49.25,29.84,86.49,5.7,124.04,banana,24.53
80.07,74.43,52.7,30.49,88.17,5.55,184.1,banana,39.17
85.48,77.23,48.25,28.34,76.12,5.61,160.08,banana,21.95
106.36,76.55,52.29,26.55,81.87,6.98,142.8,banana,16.13
81.29,76.34,54.89,31.71,76.14,5.92,132.44,banana,19.69
87.74,79.73,51.26,29.08,79.75,6.16,115.02,banana,16.4
107.8,78.1,50.2,31.34,87.56,6.95,100.21,banana,25.77
102.2,74.25,53.27,26.67,83.44,5.59,176.44,banana,16.24
107.67,72.39,51.78,26.09,87.69,5.7,161.51,banana,28.16
85.17,75.18,51.35,26.02,78.63,6.0,124.46,banana,33.68
88.3,75.16,52.99,25.9,84.65,6.0,100.53,banana,32.92
80.59,71.44,54.17,27.5,84.42,5.56,155.01,banana,34.59
99.78,71.84,53.47,26.25,84.89,5.59,136.02,banana,38.38
84.7,76.58,48.91,25.87,83.24,5.69,182.59,banana,22.03
107.22,78.68,52.72,31.5,79.81,5.87,126.78,banana,27.58
90.59,73.66,49.37,25.75,77.16,5.61,143.87,banana,19.11
108.52,70.33,52.41,25.27,87.54,6.54,116.75,banana,18.66
89.9,70.69,48.5,26.56,84.76,6.3,164.82,banana,31.86
105.67,74.09,53.63,26.08,81.55,5.72,136.81,banana,23.36
86.0,72.96,54.5,27.91,76.54,6.6,105.75,banana,39.69
105.87,71.26,50.16,26.5,80.86,6.13,138.5,banana,30.58
95.69,76.61,53.08,28.94,89.26,5.98,168.79,banana,30.51
109.12,78.9,52.14,31.79,75.34,6.62,169.0,banana,18.46
98.96,73.34,52.48,27.35,84.69,6.48,132.08,banana,15.11
82.15,74.62,48.03,26.08,85.49,6.87,184.57,banana,23.35
103.42,77.81,52.22,27.6,80.44,6.12,164.02,banana,22.71
97.79,72.15,52.73,29.88,88.67,6.84,150.35,banana,36.88
97.64,76.0,52.59,27.74,84.81,6.69,145.85,banana,35.09
94.08,75.32,48.49,31.8,88.52,5.97,159.18,banana,39.2
